"","Titulo","Tipo","Estado","Cantidad_episodio","Visitas"
"92","Koi to Yobu ni wa Kimochi Warui","TV","Finalizado","12","81790"
"93","Nomad: Megalo Box 2","TV","Finalizado","13","50044"
"94","Dragon, Ie wo Kau","TV","Finalizado","12","31156"
"95","Sentouin, Hakenshimasu!","TV","Finalizado","12","140288"
"96","Vivy: Fluorite Eye's Song","TV","Finalizado","13","118533"
"97","Shakunetsu Kabaddi","TV","Finalizado","12","59268"
"98","Mashiro no Oto","TV","Finalizado","12","47953"
"99","Cardfight!! Vanguard overDress Season 1","TV","Finalizado","12","40283"
"100","SSSS.Dynazenon","TV","Finalizado","12","44161"
"101","Hetalia: World<U+2605>Stars","TV","Finalizado","12","14694"
"102","Shaman King (2021)","TV","Emision","17","185891"
"103","DOTA: Dragon’s Blood","TV","Finalizado","8","45557"
"104","Mars Red","TV","Finalizado","13","70496"
"105","Yuukoku no Moriarty 2nd","TV","Finalizado","13","43307"
"106","Boku no Hero Academia 5th Season","TV","Emision","17","1003371"
"107","Godzilla S.P","TV","Finalizado","13","69305"
"108","Orange","TV","Finalizado","13","16476"
"109","Fruits Basket: The Final","TV","Finalizado","13","77078"
"110","Gekkan Shoujo Nozaki-kun Especiales","Especial","Finalizado","6","5545"
"111","Gekkan Shoujo Nozaki-kun","TV","Finalizado","12","10736"
"112","Watashi ga Motete Dousunda","TV","Finalizado","12","32352"
"113","B: The Beginning Succession","TV","Finalizado","6","35685"
"114","Wotaku ni Koi wa Muzukashii OVA: Tomodachi no Kyori","OVA","Finalizado","1","40329"
"115","Paranoia agent","TV","Finalizado","13","16366"
"116","Serial Experiments Lain","TV","Finalizado","13","28097"
"117","Maiko-san Chi no Makanai-san","TV","Emision","6","21552"
"118","Planetarian: Snow Globe","OVA","Finalizado","1","18313"
"119","Planetarian: Hoshi no Hito","Pelicula","Finalizado","1","5815"
"120","Planetarian: Chiisana Hoshi no Yume","OVA","Finalizado","5","10610"
"121","B: The Beginning","TV","Finalizado","12","23058"
"122","Oshiete! Galko-chan","TV","Finalizado","13","11852"
"123","Kimetsu Gakuen: Valentine-hen","Especial","Finalizado","4","64733"
"124","Banana Fish","TV","Finalizado","24","148342"
"125","Happy Sugar Life","TV","Finalizado","12","16561"
"126","Gakkougurashi!","TV","Finalizado","12","13316"
"127","Daitoshokan no Hitsujikai","TV","Finalizado","12","10898"
"128","Asa made Jugyou Chu!","OVA","Finalizado","1","39682"
"129","Accel World: Infinite8Burst","Pelicula","Finalizado","1","6977"
"130","Koe no Katachi","Pelicula","Finalizado","1","42490"
"131","Kimi no Suizou wo Tabetai","Pelicula","Finalizado","1","52773"
"132","Accel World: Acchel World","Especial","Finalizado","8","4486"
"133","Accel World EX","OVA","Finalizado","2","8347"
"134","Accel World","TV","Finalizado","24","18380"
"135","Girly Air Force","TV","Finalizado","12","10538"
"136","Sewayaki Kitsune no Senko-san","TV","Finalizado","12","30137"
"137","Musaigen no Phantom World: Limitless Phantom World","Especial","Finalizado","6","10631"
"138","Musaigen no Phantom World: Mizutama no Kiseki","OVA","Finalizado","1","44594"
"139","Musaigen no Phantom World","TV","Finalizado","13","42393"
"140","Midara na Ao-chan wa Benkyou ga Dekinai","TV","Finalizado","12","29585"
"141","Given Movie","Pelicula","Finalizado","1","42432"
"142","Kanokon: Manatsu no Dai Shanikusai Especiales","Especial","Finalizado","2","67429"
"143","Kanokon: Manatsu no Dai Shanikusai","OVA","Finalizado","2","38213"
"144","Kanokon Especiales","Pelicula","Finalizado","12","32049"
"145","Kanokon","TV","Finalizado","12","57043"
"146","Keijo!!!!!!!!","TV","Finalizado","12","18478"
"147","Isekai wa Smartphone to Tomo ni","TV","Finalizado","12","30144"
"148","Inou-Battle wa Nichijou-kei no Naka de","TV","Finalizado","12","28645"
"149","Megalo Box","TV","Finalizado","13","21640"
"150","Plastic Memories","TV","Finalizado","13","23556"
"151","Hachigatsu no Cinderella Nine","TV","Finalizado","12","2682"
"152","Hibike! Euphonium Movie 3: Chikai no Finale","Pelicula","Finalizado","1","5710"
"153","Hibike! Euphonium Movie 2: Todoketai Melody","Pelicula","Finalizado","1","7164"
"154","Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso","Pelicula","Finalizado","1","5496"
"155","Liz to Aoi Tori","Pelicula","Finalizado","1","8593"
"156","Hibike! Euphonium 2","TV","Finalizado","13","7964"
"157","Hibike! Euphonium","TV","Finalizado","14","9796"
"158","Gabriel DropOut","TV","Finalizado","12","9619"
"159","Death March kara Hajimaru Isekai Kyousoukyoku","TV","Finalizado","12","46034"
"160","Rokudenashi Majutsu Koushi to Akashic Records","TV","Finalizado","12","84573"
